time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      84,       10,        4,
      85,        1,        1,
      85,        2,        1,
      85,        3,        1,
      85,        4,        1,
      85,        5,        1,
      85,        6,        1,
      85,        7,        1,
      85,        8,        4,
      86,        1,        1,
      86,        2,        1,
      86,        3,        1,
      86,        4,        1,
      86,        5,        1,
      86,        6,        1,
      86,        7,        1,
      86,        8,        2,
      86,        9,        2,
      87,        1,        1,
      87,        2,        1,
      87,        3,        1,
      87,        4,        1,
      87,        5,        1,
      87,        6,        1,
      87,        7,        1,
      87,        8,        4,
      88,        1,        1,
      88,        2,        1,
      88,        3,        1,
      88,        4,        1,
      88,        5,        1,
      88,        6,        1,
      88,        7,        2,
      88,        8,        1,
      88,        9,        1,
      88,       10,        1,
      88,       11,        1,
      88,       12,        1,
      88,       13,        1,
      88,       14,        4,
      89,        1,        1,
      89,        2,        1,
      89,        3,        1,
      89,        4,        1,
      89,        5,        4,
      90,        1,        1,
      90,        2,        1,
      90,        3,        1,
      90,        4,        1,
      90,        5,        1,
      90,        6,        1,
      90,        7,        1,
      90,        8,        1,
      90,        9,        1,
      90,       10,        1,
      90,       11,        4,
      91,        1,        1,
      91,        2,        1,
      91,        3,        1,
      91,        4,        1,
      91,        5,        1,
      91,        6,        1,
      91,        7,        4,
      92,        1,        1,
      92,        2,        1,
      92,        3,        1,
      92,        4,        1,
      92,        5,        1,
      92,        6,        1,
      92,        7,        1,
      92,        8,        4,
      93,        1,        1,
      93,        2,        1,
      93,        3,        1,
      93,        4,        1,
      93,        5,        1,
      93,        6,        1,
      93,        7,        3,
      94,        1,        1,
      94,        2,        1,
      94,        3,        1,
      94,        4,        1,
      94,        5,        4,
      95,        1,        1,
      95,        2,        1,
      95,        3,        1,
      95,        4,        1,
      95,        5,        1,
      95,        6,        1,
      95,        7,        3,
      96,        1,        1,
      96,        2,        1,
      96,        3,        1,
      96,        4,        1,
      96,        5,        4,
      97,        1,        1,
      97,        2,        1,
      97,        3,        1,
      97,        4,        4,
      98,        1,        1,
      98,        2,        1,
      98,        3,        1,
      98,        4,        1,
      98,        5,        1,
      98,        6,        1,
      98,        7,        1,
      98,        8,        4,
      99,        1,        1,
      99,        2,        1,
      99,        3,        2,
      99,        4,        2,
     100,        1,        1,
     100,        2,        1,
     100,        3,        1,
     100,        4,        1,
     100,        5,        4,
     101,        1,        1,
     101,        2,        1,
     101,        3,        4,
     102,        1,        1,
     102,        2,        1,
     102,        3,        2,
     102,        4,        1,
     102,        5,        1,
     102,        6,        1,
     102,        7,        1,
     102,        8,        1,
     102,        9,        4,
     103,        1,        1,
     103,        2,        1,
     103,        3,        1,
     103,        4,        1,
     103,        5,        1,
     103,        6,        4,
     104,        1,        1,
     104,        2,        1,
     104,        3,        1,
     104,        4,        1,
     104,        5,        1,
     104,        6,        5,
     105,        1,        1,
     105,        2,        1,
     105,        3,        1,
     105,        4,        1,
     105,        5,        1,
     105,        6,        4,
     106,        1,        1,
     106,        2,        1,
     106,        3,        1,
     106,        4,        1,
     106,        5,        1,
     106,        6,        4,
     107,        1,        1,
     107,        2,        1,
     107,        3,        3,
     107,        4,        1,
     107,        5,        1,
     107,        6,        1,
     107,        7,        4,
     108,        1,        1,
     108,        2,        1,
     108,        3,        5,
     108,        4,        1,
     109,        1,        1,
     109,        2,        1,
     109,        3,        4,
     110,        1,        1,
     110,        2,        1,
     110,        3,        4,
     110,        4,        1,
     111,        1,        1,
     111,        2,        1,
     111,        3,        5,
     111,        4,        1,
     112,        1,        1,
     112,        2,        1,
     112,        3,        5,
     112,        4,        1,
     113,        1,        1,
     113,        2,        1,
     113,        3,       10,
     114,        1,        1,
     114,        2,        1,
     114,        3,       10,
     115,        1,        1,
     115,        2,        1,
     115,        3,        5,
     115,        4,        2,
     116,        1,        1,
     116,        2,        1,
     116,        3,        1,
     116,        4,        3,
     117,        1,        1,
     117,        2,        1,
     117,        3,        1,
     117,        4,        1,
     117,        5,        1,
     117,        6,        1,
     117,        7,        1,
     117,        8,        5,
     118,        1,        1,
     118,        2,        1,
     118,        3,        1,
     118,        4,        1,
     118,        5,        1,
     118,        6,        1,
     118,        7,        1,
     118,        8,        1,
     118,        9,        3,
     119,        1,        1,
     119,        2,        1,
     119,        3,        1,
     119,        4,        1,
     119,        5,       10,
     120,        1,        1,
     120,        2,        1,
     120,        3,       10,
     121,        1,        1,
     121,        2,        1,
     121,        3,       10,
     122,        1,        1,
     122,        2,        1,
     122,        3,        9,
     123,        1,        1,
     123,        2,        1,
     123,        3,        3,
     123,        4,        1,
     123,        5,        2,
     123,        6,        1,
     124,        1,        1,
     124,        2,        1,
     124,        3,        3,
     124,        4,        3,
     125,        1,        1,
     125,        2,        1,
     125,        3,        2,
     125,        4,        2,
     126,        1,        1,
     126,        2,        1,
     126,        3,        4,
     126,        4,        4,
     127,        1,        1,
     127,        2,        1,
     127,        3,        2,
     127,        4,        7,
     128,        1,        1,
     128,        2,        1,
     128,        3,        1,
     128,        4,        1,
     128,        5,        4,
     129,        1,        1,
     129,        2,        1,
     129,        3,        3,
     129,        4,        3,
     130,        1,        1,
     130,        2,        1,
     130,        3,        2,
     130,        4,        1,
     130,        5,        1,
     130,        6,        4,
     131,        1,        1,
     131,        2,        1,
