time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      78,        2,        1,
      78,        3,       10,
      79,        1,        1,
      79,        2,        1,
      79,        3,       10,
      79,        4,       10,
      80,        1,        1,
      80,        2,        1,
      80,        3,       10,
      81,        1,        1,
      81,        2,        1,
      81,        3,       10,
      82,        1,        1,
      82,        2,        1,
      82,        3,       10,
      83,        1,        1,
      83,        2,        1,
      83,        3,       10,
      83,        4,       10,
      84,        1,        1,
      84,        2,        1,
      84,        3,       10,
      85,        1,        1,
      85,        2,        1,
      85,        3,       10,
      86,        1,        1,
      86,        2,        1,
      86,        3,       10,
      86,        4,       10,
      87,        1,        1,
      87,        2,        1,
      87,        3,       10,
      88,        1,        1,
      88,        2,        1,
      88,        3,       10,
      89,        1,        1,
      89,        2,        1,
      89,        3,       10,
      90,        1,        1,
      90,        2,        1,
      90,        3,       10,
      91,        1,        1,
      91,        2,        1,
      91,        3,       10,
      92,        1,        1,
      92,        2,        1,
      92,        3,       10,
      92,        4,       10,
      93,        1,        1,
      93,        2,        1,
      93,        3,       10,
      94,        1,        1,
      94,        2,        1,
      94,        3,       10,
      95,        1,        1,
      95,        2,        1,
      95,        3,       10,
      96,        1,        1,
      96,        2,        1,
      96,        3,       10,
      96,        4,       10,
      97,        1,        1,
      97,        2,        1,
      97,        3,       10,
      97,        4,       10,
      98,        1,        1,
      98,        2,        1,
      98,        3,       10,
      99,        1,        1,
      99,        2,        1,
      99,        3,       10,
     100,        1,        1,
     100,        2,        1,
     100,        3,       10,
     100,        4,       10,
